group_name,run_name,fine_clarabel_solve_time_s,set_avg_fine_clarabel_solve_time_s
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_1,0.957734,
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_2,0.958407,
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_3,0.974332,
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_4,0.976678,
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_5,0.959212,
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_6,0.951172,
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_7,0.967487,
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_8,0.973453,
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_9,0.949376,
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_10,0.937265,
cgl_direct_limited_descent_short,set_1_avg,,0.960512
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_1,0.901488,
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_2,0.922251,
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_3,0.937737,
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_4,0.900287,
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_5,0.883595,
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_6,0.886194,
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_7,0.877955,
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_8,0.889105,
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_9,0.887763,
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_10,0.897339,
zoh_direct_limited_descent_short,set_1_avg,,0.898371
